	Placeholder=0
eta=1e-06	62.39051870000003
eta=1.6378937069540647e-06	61.62511050000103
eta=2.6826957952797274e-06	61.573471300000165
eta=4.393970560760786e-06	62.43865970000115
eta=7.196856730011514e-06	61.862516700000924
eta=1.1787686347935867e-05	62.672657200000685
eta=1.9306977288832496e-05	62.261212700001124
eta=3.1622776601683795e-05	61.165311999999176
eta=5.1794746792312125e-05	60.81176290000076
eta=8.483428982440725e-05	60.56227779999972
eta=0.00013894954943731373	60.62765600000057
eta=0.00022758459260747887	61.3993945000002
eta=0.0003727593720314938	61.078728099997534
eta=0.0006105402296585327	65.33520489999864
eta=0.001	64.04921950000062
