	Placeholder=0
eta=0.001	0.7977797779777978
eta=0.0013894954943731374	0.8154815481548154
eta=0.0019306977288832496	0.8274827482748275
eta=0.0026826957952797246	0.8307830783078308
eta=0.003727593720314938	0.8370837083708371
eta=0.005179474679231213	0.8403840384038403
eta=0.0071968567300115215	0.8412841284128413
eta=0.01	0.8427842784278428
eta=0.013894954943731374	0.8370837083708371
eta=0.019306977288832496	0.8406840684068407
eta=0.026826957952797246	0.8331833183318332
eta=0.0372759372031494	0.8283828382838284
eta=0.0517947467923121	0.8313831383138314
eta=0.07196856730011518	0.7752775277527753
eta=0.1	0.7155715571557155
