	Placeholder=0
eta=0.001	33.277364900000975
eta=0.0013894954943731374	32.93221099999937
eta=0.0019306977288832496	32.54781879999791
eta=0.0026826957952797246	33.371484299997974
eta=0.003727593720314938	34.01093799999944
eta=0.005179474679231213	35.59973119999995
eta=0.0071968567300115215	36.07677260000128
eta=0.01	35.49469070000123
eta=0.013894954943731374	41.09183629999825
eta=0.019306977288832496	45.895203399999446
eta=0.026826957952797246	47.419404200001736
eta=0.0372759372031494	55.196601399999054
eta=0.0517947467923121	64.56794599999921
eta=0.07196856730011518	66.84966780000104
eta=0.1	72.01428799999849
