	Placeholder=0
eta=1e-05	0.8127812743186951
eta=1.3894954943731388e-05	0.8223822116851807
eta=1.9306977288832496e-05	0.8310831189155579
eta=2.6826957952797274e-05	0.8346834778785706
eta=3.727593720314938e-05	0.8409841060638428
eta=5.1794746792312125e-05	0.8430843353271484
eta=7.196856730011514e-05	0.8448845148086548
eta=0.0001	0.8454845547676086
eta=0.00013894954943731373	0.847284734249115
eta=0.00019306977288832496	0.8475847840309143
eta=0.00026826957952797245	0.8490849137306213
eta=0.0003727593720314938	0.8463846445083618
eta=0.0005179474679231213	0.8427842855453491
eta=0.0007196856730011514	0.8406840562820435
eta=0.001	0.8343834280967712
