	Placeholder=0
eta=1e-05	94.95260830000007
eta=1.3894954943731388e-05	78.81206340000062
eta=1.9306977288832496e-05	79.88379610000084
eta=2.6826957952797274e-05	78.9303216999997
eta=3.727593720314938e-05	79.4013662999987
eta=5.1794746792312125e-05	80.23614039999848
eta=7.196856730011514e-05	78.8338033
eta=0.0001	79.30375370000002
eta=0.00013894954943731373	78.96726539999872
eta=0.00019306977288832496	80.92478510000001
eta=0.00026826957952797245	81.15769830000136
eta=0.0003727593720314938	79.82158680000066
eta=0.0005179474679231213	79.9110980000005
eta=0.0007196856730011514	79.33326549999947
eta=0.001	80.02325609999934
