	Placeholder=0
eta=0.0001	143.84323539999968
eta=0.00013894954943731373	142.82379870000113
eta=0.00019306977288832496	144.0198777000005
eta=0.00026826957952797245	142.70840259999932
eta=0.0003727593720314938	143.14925739999853
eta=0.0005179474679231213	142.87529559999894
eta=0.0007196856730011522	142.38438099999985
eta=0.001	142.2750055000015
eta=0.0013894954943731374	142.7026810999996
eta=0.0019306977288832496	143.88969800000086
eta=0.0026826957952797246	143.97411680000005
eta=0.003727593720314938	143.86289650000072
eta=0.005179474679231213	144.13032080000085
eta=0.007196856730011514	144.5957993000011
eta=0.01	143.904817300001
